agrovet_name,region,specialty,phone,email,statement,image_path
AgroStores (Barasa),Homa Bay,animal health care,+25410772448,agrostores_homabay@farmershub.co.ke,"AgroStores (Barasa), located in Homa Bay County, specializes in animal health care. Contact: +25410772448, Email: agrostores_homabay@farmershub.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Homa Bay\AgroStores_(Barasa)_2563.jpg
ProWorld (Mwangi),Busia,livestock feeds,+25475322825,proworldmw_busia@yahoo.com,"ProWorld (Mwangi), located in Busia County, specializes in livestock feeds. Contact: +25475322825, Email: proworldmw_busia@yahoo.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Busia\ProWorld_(Mwangi)_2564.jpg
CropServices (Koech),Homa Bay,dairy equipment,+254114761316,cropservic_homabay@gmail.com,"CropServices (Koech), located in Homa Bay County, specializes in dairy equipment. Contact: +254114761316, Email: cropservic_homabay@gmail.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Homa Bay\CropServices_(Koech)_2565.jpg
FarmSuppliers (Moraa),Uasin Gishu,beekeeping tools,+25479136168,farmsuppli_uasingishu@yahoo.com,"FarmSuppliers (Moraa), located in Uasin Gishu County, specializes in beekeeping tools. Contact: +25479136168, Email: farmsuppli_uasingishu@yahoo.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Uasin Gishu\FarmSuppliers_(Moraa)_2566.jpg
GreenDistributors (Kamau),Meru,farm machinery,+254112652393,greendistr_meru@farmershub.co.ke,"GreenDistributors (Kamau), located in Meru County, specializes in farm machinery. Contact: +254112652393, Email: greendistr_meru@farmershub.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Meru\GreenDistributors_(Kamau)_2567.jpg
EcoAgrovet (Ochieng),Naivasha,farm machinery,+25415347910,ecoagrovet_naivasha@outlook.com,"EcoAgrovet (Ochieng), located in Naivasha County, specializes in farm machinery. Contact: +25415347910, Email: ecoagrovet_naivasha@outlook.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Naivasha\EcoAgrovet_(Ochieng)_2568.jpg
CropMart (Njoroge),Migori,farm machinery,+25476556063,cropmartnj_migori@outlook.com,"CropMart (Njoroge), located in Migori County, specializes in farm machinery. Contact: +25476556063, Email: cropmartnj_migori@outlook.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Migori\CropMart_(Njoroge)_2569.jpg
AgriStores (Barasa),Machakos,dairy equipment,+254117570258,agristores_machakos@yahoo.com,"AgriStores (Barasa), located in Machakos County, specializes in dairy equipment. Contact: +254117570258, Email: agristores_machakos@yahoo.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Machakos\AgriStores_(Barasa)_2570.jpg
CropDepot (Okello),Kakamega,fertilizers,+254117035391,cropdepoto_kakamega@yahoo.com,"CropDepot (Okello), located in Kakamega County, specializes in fertilizers. Contact: +254117035391, Email: cropdepoto_kakamega@yahoo.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Kakamega\CropDepot_(Okello)_2571.jpg
DairyAgrovet (Omondi),Nyeri,seed distribution,+254116399534,dairyagrov_nyeri@farmershub.co.ke,"DairyAgrovet (Omondi), located in Nyeri County, specializes in seed distribution. Contact: +254116399534, Email: dairyagrov_nyeri@farmershub.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Nyeri\DairyAgrovet_(Omondi)_2572.jpg
ProStores (Mutiso),Kitui,fertilizers,+254112921917,prostoresm_kitui@yahoo.com,"ProStores (Mutiso), located in Kitui County, specializes in fertilizers. Contact: +254112921917, Email: prostoresm_kitui@yahoo.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Kitui\ProStores_(Mutiso)_2573.jpg
HarvestDistributors (Njoroge),Busia,crop protection chemicals,+254118791894,harvestdis_busia@farmershub.co.ke,"HarvestDistributors (Njoroge), located in Busia County, specializes in crop protection chemicals. Contact: +254118791894, Email: harvestdis_busia@farmershub.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Busia\HarvestDistributors_(Njoroge)_2574.jpg
PrimeDepot (Chebet),Isiolo,fish farming supplies,+25417346827,primedepot_isiolo@gmail.com,"PrimeDepot (Chebet), located in Isiolo County, specializes in fish farming supplies. Contact: +25417346827, Email: primedepot_isiolo@gmail.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Isiolo\PrimeDepot_(Chebet)_2575.jpg
FarmWorld (Koech),Mombasa,livestock feeds,+254117187000,farmworldk_mombasa@farmershub.co.ke,"FarmWorld (Koech), located in Mombasa County, specializes in livestock feeds. Contact: +254117187000, Email: farmworldk_mombasa@farmershub.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Mombasa\FarmWorld_(Koech)_2576.jpg
PrimeServices (Ochieng),Migori,crop protection chemicals,+254119072308,primeservi_migori@farmershub.co.ke,"PrimeServices (Ochieng), located in Migori County, specializes in crop protection chemicals. Contact: +254119072308, Email: primeservi_migori@farmershub.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Migori\PrimeServices_(Ochieng)_2577.jpg
CropAgency (Okello),Migori,vaccines,+25473824280,cropagency_migori@farmershub.co.ke,"CropAgency (Okello), located in Migori County, specializes in vaccines. Contact: +25473824280, Email: cropagency_migori@farmershub.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Migori\CropAgency_(Okello)_2578.jpg
CropSolutions (Kiptoo),Kajiado,fish farming supplies,+25417493119,cropsoluti_kajiado@outlook.com,"CropSolutions (Kiptoo), located in Kajiado County, specializes in fish farming supplies. Contact: +25417493119, Email: cropsoluti_kajiado@outlook.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Kajiado\CropSolutions_(Kiptoo)_2579.jpg
EcoServices (Njoroge),Meru,veterinary medicine,+25476019346,ecoservice_meru@farmershub.co.ke,"EcoServices (Njoroge), located in Meru County, specializes in veterinary medicine. Contact: +25476019346, Email: ecoservice_meru@farmershub.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Meru\EcoServices_(Njoroge)_2580.jpg
RuralDistributors (Koech),Isiolo,beekeeping tools,+25474042019,ruraldistr_isiolo@agrovet.co.ke,"RuralDistributors (Koech), located in Isiolo County, specializes in beekeeping tools. Contact: +25474042019, Email: ruraldistr_isiolo@agrovet.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Isiolo\RuralDistributors_(Koech)_2581.jpg
AgriHub (Mwangi),Garissa,poultry inputs,+25475491549,agrihubmwa_garissa@agrovet.co.ke,"AgriHub (Mwangi), located in Garissa County, specializes in poultry inputs. Contact: +25475491549, Email: agrihubmwa_garissa@agrovet.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Garissa\AgriHub_(Mwangi)_2582.jpg
VetAgency (Kimani),Kitui,vaccines,+25414961784,vetagencyk_kitui@farmershub.co.ke,"VetAgency (Kimani), located in Kitui County, specializes in vaccines. Contact: +25414961784, Email: vetagencyk_kitui@farmershub.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Kitui\VetAgency_(Kimani)_2583.jpg
DairyDepot (Achieng),Naivasha,animal health care,+254118009078,dairydepot_naivasha@outlook.com,"DairyDepot (Achieng), located in Naivasha County, specializes in animal health care. Contact: +254118009078, Email: dairydepot_naivasha@outlook.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Naivasha\DairyDepot_(Achieng)_2584.jpg
ProMart (Koech),Busia,veterinary medicine,+254116024255,promartkoe_busia@agrovet.co.ke,"ProMart (Koech), located in Busia County, specializes in veterinary medicine. Contact: +254116024255, Email: promartkoe_busia@agrovet.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Busia\ProMart_(Koech)_2585.jpg
AgriStores (Njoroge),Isiolo,animal health care,+254112449638,agristores_isiolo@outlook.com,"AgriStores (Njoroge), located in Isiolo County, specializes in animal health care. Contact: +254112449638, Email: agristores_isiolo@outlook.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Isiolo\AgriStores_(Njoroge)_2586.jpg
FarmHub (Kimani),Naivasha,fish farming supplies,+25477634847,farmhubkim_naivasha@agrovet.co.ke,"FarmHub (Kimani), located in Naivasha County, specializes in fish farming supplies. Contact: +25477634847, Email: farmhubkim_naivasha@agrovet.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Naivasha\FarmHub_(Kimani)_2587.jpg
AnimalSolutions (Maina),Machakos,beekeeping tools,+25479217986,animalsolu_machakos@yahoo.com,"AnimalSolutions (Maina), located in Machakos County, specializes in beekeeping tools. Contact: +25479217986, Email: animalsolu_machakos@yahoo.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Machakos\AnimalSolutions_(Maina)_2588.jpg
GreenMart (Mutiso),Kajiado,beekeeping tools,+254114794276,greenmartm_kajiado@yahoo.com,"GreenMart (Mutiso), located in Kajiado County, specializes in beekeeping tools. Contact: +254114794276, Email: greenmartm_kajiado@yahoo.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Kajiado\GreenMart_(Mutiso)_2589.jpg
BioHub (Kilonzo),Kitale,livestock feeds,+25419579569,biohubkilo_kitale@yahoo.com,"BioHub (Kilonzo), located in Kitale County, specializes in livestock feeds. Contact: +25419579569, Email: biohubkilo_kitale@yahoo.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Kitale\BioHub_(Kilonzo)_2590.jpg
EcoDistributors (Achieng),Kitale,vaccines,+254114502747,ecodistrib_kitale@yahoo.com,"EcoDistributors (Achieng), located in Kitale County, specializes in vaccines. Contact: +254114502747, Email: ecodistrib_kitale@yahoo.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Kitale\EcoDistributors_(Achieng)_2591.jpg
LivestockWorld (Njeri),Homa Bay,fertilizers,+25418464339,livestockw_homabay@outlook.com,"LivestockWorld (Njeri), located in Homa Bay County, specializes in fertilizers. Contact: +25418464339, Email: livestockw_homabay@outlook.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Homa Bay\LivestockWorld_(Njeri)_2592.jpg
HarvestShop (Mwangi),Kisumu,animal health care,+25476092721,harvestsho_kisumu@gmail.com,"HarvestShop (Mwangi), located in Kisumu County, specializes in animal health care. Contact: +25476092721, Email: harvestsho_kisumu@gmail.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Kisumu\HarvestShop_(Mwangi)_2593.jpg
AgriSolutions (Okello),Garissa,vaccines,+25419628970,agrisoluti_garissa@yahoo.com,"AgriSolutions (Okello), located in Garissa County, specializes in vaccines. Contact: +25419628970, Email: agrisoluti_garissa@yahoo.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Garissa\AgriSolutions_(Okello)_2594.jpg
GreenDepot (Njeri),Siaya,crop protection chemicals,+25478563653,greendepot_siaya@farmershub.co.ke,"GreenDepot (Njeri), located in Siaya County, specializes in crop protection chemicals. Contact: +25478563653, Email: greendepot_siaya@farmershub.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Siaya\GreenDepot_(Njeri)_2595.jpg
GreenEnterprises (Wanjiku),Kitale,vaccines,+25476990539,greenenter_kitale@farmershub.co.ke,"GreenEnterprises (Wanjiku), located in Kitale County, specializes in vaccines. Contact: +25476990539, Email: greenenter_kitale@farmershub.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Kitale\GreenEnterprises_(Wanjiku)_2596.jpg
DairyDistributors (Omondi),Meru,seed distribution,+254112150983,dairydistr_meru@outlook.com,"DairyDistributors (Omondi), located in Meru County, specializes in seed distribution. Contact: +254112150983, Email: dairydistr_meru@outlook.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Meru\DairyDistributors_(Omondi)_2597.jpg
BioSuppliers (Kiptoo),Mombasa,fertilizers,+254114239501,biosupplie_mombasa@outlook.com,"BioSuppliers (Kiptoo), located in Mombasa County, specializes in fertilizers. Contact: +254114239501, Email: biosupplie_mombasa@outlook.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Mombasa\BioSuppliers_(Kiptoo)_2598.jpg
HarvestAgency (Njoroge),Kajiado,animal health care,+25419949740,harvestage_kajiado@agrovet.co.ke,"HarvestAgency (Njoroge), located in Kajiado County, specializes in animal health care. Contact: +25419949740, Email: harvestage_kajiado@agrovet.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Kajiado\HarvestAgency_(Njoroge)_2599.jpg
AnimalSolutions (Wanjiku),Homa Bay,farm machinery,+254112617006,animalsolu_homabay@gmail.com,"AnimalSolutions (Wanjiku), located in Homa Bay County, specializes in farm machinery. Contact: +254112617006, Email: animalsolu_homabay@gmail.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Homa Bay\AnimalSolutions_(Wanjiku)_2600.jpg
AgriCenter (Okello),Migori,fertilizers,+25417582515,agricenter_migori@farmershub.co.ke,"AgriCenter (Okello), located in Migori County, specializes in fertilizers. Contact: +25417582515, Email: agricenter_migori@farmershub.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Migori\AgriCenter_(Okello)_2601.jpg
DairyCenter (Moraa),Kajiado,vaccines,+254113138970,dairycente_kajiado@yahoo.com,"DairyCenter (Moraa), located in Kajiado County, specializes in vaccines. Contact: +254113138970, Email: dairycente_kajiado@yahoo.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Kajiado\DairyCenter_(Moraa)_2602.jpg
RuralHub (Kimani),Uasin Gishu,beekeeping tools,+25415123162,ruralhubki_uasingishu@yahoo.com,"RuralHub (Kimani), located in Uasin Gishu County, specializes in beekeeping tools. Contact: +25415123162, Email: ruralhubki_uasingishu@yahoo.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Uasin Gishu\RuralHub_(Kimani)_2603.jpg
AgroShop (Omondi),Nyeri,seed distribution,+254118022468,agroshopom_nyeri@yahoo.com,"AgroShop (Omondi), located in Nyeri County, specializes in seed distribution. Contact: +254118022468, Email: agroshopom_nyeri@yahoo.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Nyeri\AgroShop_(Omondi)_2604.jpg
LivestockAgrovet (Ochieng),Garissa,seed distribution,+25470015215,livestocka_garissa@outlook.com,"LivestockAgrovet (Ochieng), located in Garissa County, specializes in seed distribution. Contact: +25470015215, Email: livestocka_garissa@outlook.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Garissa\LivestockAgrovet_(Ochieng)_2605.jpg
ProShop (Wanjiku),Mombasa,farm machinery,+25476566624,proshopwan_mombasa@gmail.com,"ProShop (Wanjiku), located in Mombasa County, specializes in farm machinery. Contact: +25476566624, Email: proshopwan_mombasa@gmail.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Mombasa\ProShop_(Wanjiku)_2606.jpg
ProFarmers Ltd (Kilonzo),Siaya,vaccines,+25412323966,profarmers_siaya@yahoo.com,"ProFarmers Ltd (Kilonzo), located in Siaya County, specializes in vaccines. Contact: +25412323966, Email: profarmers_siaya@yahoo.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Siaya\ProFarmers_Ltd_(Kilonzo)_2607.jpg
DairyEnterprises (Omondi),Busia,fertilizers,+254112927669,dairyenter_busia@agrovet.co.ke,"DairyEnterprises (Omondi), located in Busia County, specializes in fertilizers. Contact: +254112927669, Email: dairyenter_busia@agrovet.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Busia\DairyEnterprises_(Omondi)_2608.jpg
CropDistributors (Mwangi),Isiolo,veterinary medicine,+25470724695,cropdistri_isiolo@gmail.com,"CropDistributors (Mwangi), located in Isiolo County, specializes in veterinary medicine. Contact: +25470724695, Email: cropdistri_isiolo@gmail.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Isiolo\CropDistributors_(Mwangi)_2609.jpg
CropSuppliers (Moraa),Uasin Gishu,seed distribution,+25474406647,cropsuppli_uasingishu@agrovet.co.ke,"CropSuppliers (Moraa), located in Uasin Gishu County, specializes in seed distribution. Contact: +25474406647, Email: cropsuppli_uasingishu@agrovet.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Uasin Gishu\CropSuppliers_(Moraa)_2610.jpg
RuralAgrovet (Moraa),Uasin Gishu,farm machinery,+25413233081,ruralagrov_uasingishu@agrovet.co.ke,"RuralAgrovet (Moraa), located in Uasin Gishu County, specializes in farm machinery. Contact: +25413233081, Email: ruralagrov_uasingishu@agrovet.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Uasin Gishu\RuralAgrovet_(Moraa)_2611.jpg
AgriStores (Wanjiku),Kajiado,dairy equipment,+25474083784,agristores_kajiado@yahoo.com,"AgriStores (Wanjiku), located in Kajiado County, specializes in dairy equipment. Contact: +25474083784, Email: agristores_kajiado@yahoo.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Kajiado\AgriStores_(Wanjiku)_2612.jpg
EcoSolutions (Chebet),Kisumu,beekeeping tools,+25414898798,ecosolutio_kisumu@agrovet.co.ke,"EcoSolutions (Chebet), located in Kisumu County, specializes in beekeeping tools. Contact: +25414898798, Email: ecosolutio_kisumu@agrovet.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Kisumu\EcoSolutions_(Chebet)_2613.jpg
LivestockSolutions (Wanjiku),Naivasha,livestock feeds,+254115488142,livestocks_naivasha@yahoo.com,"LivestockSolutions (Wanjiku), located in Naivasha County, specializes in livestock feeds. Contact: +254115488142, Email: livestocks_naivasha@yahoo.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Naivasha\LivestockSolutions_(Wanjiku)_2614.jpg
HarvestStores (Otieno),Isiolo,veterinary medicine,+25415014543,harveststo_isiolo@agrovet.co.ke,"HarvestStores (Otieno), located in Isiolo County, specializes in veterinary medicine. Contact: +25415014543, Email: harveststo_isiolo@agrovet.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Isiolo\HarvestStores_(Otieno)_2615.jpg
AnimalCenter (Chebet),Busia,vaccines,+254112331719,animalcent_busia@outlook.com,"AnimalCenter (Chebet), located in Busia County, specializes in vaccines. Contact: +254112331719, Email: animalcent_busia@outlook.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Busia\AnimalCenter_(Chebet)_2616.jpg
AgriAgrovet (Maina),Isiolo,livestock feeds,+254117983847,agriagrove_isiolo@yahoo.com,"AgriAgrovet (Maina), located in Isiolo County, specializes in livestock feeds. Contact: +254117983847, Email: agriagrove_isiolo@yahoo.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Isiolo\AgriAgrovet_(Maina)_2617.jpg
FarmWorld (Chebet),Kakamega,vaccines,+25410654214,farmworldc_kakamega@gmail.com,"FarmWorld (Chebet), located in Kakamega County, specializes in vaccines. Contact: +25410654214, Email: farmworldc_kakamega@gmail.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Kakamega\FarmWorld_(Chebet)_2618.jpg
VetMart (Njoroge),Mombasa,dairy equipment,+25471158859,vetmartnjo_mombasa@agrovet.co.ke,"VetMart (Njoroge), located in Mombasa County, specializes in dairy equipment. Contact: +25471158859, Email: vetmartnjo_mombasa@agrovet.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Mombasa\VetMart_(Njoroge)_2619.jpg
PrimeCenter (Kilonzo),Kitale,fish farming supplies,+254117495833,primecente_kitale@farmershub.co.ke,"PrimeCenter (Kilonzo), located in Kitale County, specializes in fish farming supplies. Contact: +254117495833, Email: primecente_kitale@farmershub.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Kitale\PrimeCenter_(Kilonzo)_2620.jpg
AgroFarmers Ltd (Ochieng),Nakuru,animal health care,+254115891209,agrofarmer_nakuru@farmershub.co.ke,"AgroFarmers Ltd (Ochieng), located in Nakuru County, specializes in animal health care. Contact: +254115891209, Email: agrofarmer_nakuru@farmershub.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Nakuru\AgroFarmers_Ltd_(Ochieng)_2621.jpg
HarvestAgrovet (Koech),Kitui,crop protection chemicals,+25473660287,harvestagr_kitui@outlook.com,"HarvestAgrovet (Koech), located in Kitui County, specializes in crop protection chemicals. Contact: +25473660287, Email: harvestagr_kitui@outlook.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Kitui\HarvestAgrovet_(Koech)_2622.jpg
GreenStores (Kamau),Machakos,fish farming supplies,+25410828247,greenstore_machakos@farmershub.co.ke,"GreenStores (Kamau), located in Machakos County, specializes in fish farming supplies. Contact: +25410828247, Email: greenstore_machakos@farmershub.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Machakos\GreenStores_(Kamau)_2623.jpg
AgroStores (Okello),Meru,vaccines,+25410356382,agrostores_meru@outlook.com,"AgroStores (Okello), located in Meru County, specializes in vaccines. Contact: +25410356382, Email: agrostores_meru@outlook.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Meru\AgroStores_(Okello)_2624.jpg
AgriCenter (Ochieng),Mombasa,vaccines,+254111153795,agricenter_mombasa@yahoo.com,"AgriCenter (Ochieng), located in Mombasa County, specializes in vaccines. Contact: +254111153795, Email: agricenter_mombasa@yahoo.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Mombasa\AgriCenter_(Ochieng)_2625.jpg
GreenServices (Kilonzo),Siaya,crop protection chemicals,+254115170751,greenservi_siaya@gmail.com,"GreenServices (Kilonzo), located in Siaya County, specializes in crop protection chemicals. Contact: +254115170751, Email: greenservi_siaya@gmail.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Siaya\GreenServices_(Kilonzo)_2626.jpg
EcoSuppliers (Barasa),Kakamega,poultry inputs,+25417765392,ecosupplie_kakamega@yahoo.com,"EcoSuppliers (Barasa), located in Kakamega County, specializes in poultry inputs. Contact: +25417765392, Email: ecosupplie_kakamega@yahoo.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Kakamega\EcoSuppliers_(Barasa)_2627.jpg
LivestockSuppliers (Moraa),Nyeri,livestock feeds,+254110763648,livestocks_nyeri@agrovet.co.ke,"LivestockSuppliers (Moraa), located in Nyeri County, specializes in livestock feeds. Contact: +254110763648, Email: livestocks_nyeri@agrovet.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Nyeri\LivestockSuppliers_(Moraa)_2628.jpg
FarmShop (Wanjiku),Nakuru,fish farming supplies,+25470150202,farmshopwa_nakuru@yahoo.com,"FarmShop (Wanjiku), located in Nakuru County, specializes in fish farming supplies. Contact: +25470150202, Email: farmshopwa_nakuru@yahoo.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Nakuru\FarmShop_(Wanjiku)_2629.jpg
VetShop (Maina),Naivasha,farm machinery,+25413994724,vetshopmai_naivasha@farmershub.co.ke,"VetShop (Maina), located in Naivasha County, specializes in farm machinery. Contact: +25413994724, Email: vetshopmai_naivasha@farmershub.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Naivasha\VetShop_(Maina)_2630.jpg
PrimeSolutions (Mwangi),Uasin Gishu,farm machinery,+25410861595,primesolut_uasingishu@yahoo.com,"PrimeSolutions (Mwangi), located in Uasin Gishu County, specializes in farm machinery. Contact: +25410861595, Email: primesolut_uasingishu@yahoo.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Uasin Gishu\PrimeSolutions_(Mwangi)_2631.jpg
GreenServices (Otieno),Mombasa,poultry inputs,+25479530640,greenservi_mombasa@yahoo.com,"GreenServices (Otieno), located in Mombasa County, specializes in poultry inputs. Contact: +25479530640, Email: greenservi_mombasa@yahoo.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Mombasa\GreenServices_(Otieno)_2632.jpg
LivestockServices (Chebet),Isiolo,dairy equipment,+254115276025,livestocks_isiolo@outlook.com,"LivestockServices (Chebet), located in Isiolo County, specializes in dairy equipment. Contact: +254115276025, Email: livestocks_isiolo@outlook.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Isiolo\LivestockServices_(Chebet)_2633.jpg
EcoEnterprises (Njoroge),Migori,vaccines,+254118841544,ecoenterpr_migori@agrovet.co.ke,"EcoEnterprises (Njoroge), located in Migori County, specializes in vaccines. Contact: +254118841544, Email: ecoenterpr_migori@agrovet.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Migori\EcoEnterprises_(Njoroge)_2634.jpg
BioWorld (Wanjiku),Isiolo,veterinary medicine,+25475586753,bioworldwa_isiolo@agrovet.co.ke,"BioWorld (Wanjiku), located in Isiolo County, specializes in veterinary medicine. Contact: +25475586753, Email: bioworldwa_isiolo@agrovet.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Isiolo\BioWorld_(Wanjiku)_2635.jpg
CropAgency (Otieno),Busia,veterinary medicine,+25478165472,cropagency_busia@agrovet.co.ke,"CropAgency (Otieno), located in Busia County, specializes in veterinary medicine. Contact: +25478165472, Email: cropagency_busia@agrovet.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Busia\CropAgency_(Otieno)_2636.jpg
LivestockSuppliers (Cheruiyot),Meru,farm machinery,+25415897223,livestocks_meru@gmail.com,"LivestockSuppliers (Cheruiyot), located in Meru County, specializes in farm machinery. Contact: +25415897223, Email: livestocks_meru@gmail.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Meru\LivestockSuppliers_(Cheruiyot)_2637.jpg
AgroCenter (Wanjiku),Homa Bay,animal health care,+25471918772,agrocenter_homabay@farmershub.co.ke,"AgroCenter (Wanjiku), located in Homa Bay County, specializes in animal health care. Contact: +25471918772, Email: agrocenter_homabay@farmershub.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Homa Bay\AgroCenter_(Wanjiku)_2638.jpg
FarmEnterprises (Barasa),Kitale,animal health care,+25419408923,farmenterp_kitale@outlook.com,"FarmEnterprises (Barasa), located in Kitale County, specializes in animal health care. Contact: +25419408923, Email: farmenterp_kitale@outlook.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Kitale\FarmEnterprises_(Barasa)_2639.jpg
DairyHub (Barasa),Naivasha,fertilizers,+25414373428,dairyhubba_naivasha@gmail.com,"DairyHub (Barasa), located in Naivasha County, specializes in fertilizers. Contact: +25414373428, Email: dairyhubba_naivasha@gmail.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Naivasha\DairyHub_(Barasa)_2640.jpg
